iter,wl,overlap,ref
1,128.58,0.0066,2007.16
2,128.29,0.0071,2007.06
3,128.12,0.0068,2006.97
4,128.00,0.0066,2006.90
5,127.89,0.0064,2006.82
6,127.79,0.0063,2006.74
7,127.68,0.0064,2006.67
8,127.58,0.0064,2006.60
9,127.49,0.0062,2006.54
10,127.41,0.0061,2006.48
11,127.33,0.0060,2006.42
12,127.26,0.0059,2006.36
13,127.20,0.0059,2006.30
14,127.14,0.0058,2006.25
15,127.09,0.0057,2006.19
16,127.03,0.0056,2006.14
17,126.97,0.0055,2006.08
18,126.91,0.0055,2006.03
19,126.84,0.0054,2005.97
20,126.78,0.0053,2005.92
21,126.71,0.0052,2005.86
22,126.65,0.0052,2005.81
23,126.59,0.0051,2005.75
24,126.53,0.0050,2005.70
25,126.46,0.0050,2005.65
26,126.39,0.0049,2005.59
27,126.32,0.0048,2005.54
28,126.26,0.0048,2005.48
29,126.20,0.0047,2005.43
30,126.13,0.0046,2005.38
31,126.07,0.0045,2005.33
32,126.01,0.0045,2005.27
33,125.95,0.0044,2005.22
34,125.89,0.0043,2005.17
35,125.83,0.0043,2005.12
36,125.77,0.0042,2005.06
37,125.70,0.0041,2005.01
38,125.64,0.0040,2004.96
39,125.57,0.0040,2004.91
40,125.50,0.0039,2004.86
41,125.44,0.0038,2004.80
42,125.37,0.0038,2004.76
43,125.30,0.0037,2004.70
44,125.23,0.0036,2004.66
45,125.16,0.0036,2004.61
46,125.09,0.0035,2004.56
47,125.03,0.0034,2004.51
48,124.96,0.0033,2004.46
49,124.89,0.0033,2004.41
50,124.83,0.0032,2004.36
51,124.78,0.0031,2004.31
52,124.72,0.0030,2004.26
53,124.66,0.0030,2004.21
54,124.61,0.0029,2004.16
55,124.55,0.0028,2004.12
56,124.48,0.0027,2004.07
57,124.42,0.0027,2004.02
58,124.36,0.0026,2003.97
59,124.30,0.0025,2003.93
60,124.24,0.0025,2003.88
61,124.19,0.0024,2003.83
62,124.15,0.0023,2003.79
63,124.11,0.0022,2003.74
64,124.07,0.0022,2003.70
65,124.03,0.0021,2003.65
66,123.98,0.0020,2003.61
67,123.94,0.0019,2003.57
68,123.90,0.0019,2003.52
69,123.86,0.0018,2003.48
70,123.81,0.0017,2003.43
71,123.76,0.0016,2003.39
72,123.72,0.0016,2003.34
73,123.68,0.0015,2003.30
74,123.64,0.0014,2003.26
75,123.60,0.0013,2003.22
76,123.56,0.0013,2003.17
77,123.52,0.0012,2003.14
78,123.48,0.0011,2003.09
79,123.44,0.0010,2003.05
80,123.40,0.0010,2003.01
81,123.35,0.0009,2002.97
82,123.31,0.0009,2002.93
83,123.27,0.0008,2002.88
84,123.23,0.0008,2002.84
85,123.19,0.0008,2002.80
86,123.15,0.0007,2002.76
87,123.11,0.0007,2002.72
88,123.07,0.0007,2002.68
89,123.04,0.0007,2002.64
90,123.00,0.0006,2002.60
91,122.96,0.0006,2002.56
92,122.92,0.0006,2002.52
93,122.88,0.0005,2002.48
94,122.85,0.0005,2002.44
95,122.81,0.0005,2002.40
96,122.78,0.0005,2002.36
97,122.75,0.0004,2002.32
98,122.71,0.0004,2002.28
99,122.68,0.0004,2002.24
100,122.64,0.0004,2002.20
101,122.60,0.0004,2002.17
102,122.57,0.0003,2002.13
103,122.53,0.0003,2002.09
104,122.49,0.0003,2002.05
105,122.45,0.0003,2002.01
106,122.41,0.0002,2001.97
107,122.37,0.0002,2001.93
108,122.33,0.0002,2001.89
109,122.30,0.0002,2001.85
110,122.26,0.0002,2001.82
111,122.23,0.0001,2001.78
