iter,wl,overlap,ref
200,47.96,0.0085,2147.45
201,47.95,0.0085,2147.39
202,47.93,0.0085,2147.34
203,47.92,0.0085,2147.28
204,47.90,0.0085,2147.23
205,47.89,0.0085,2147.17
206,47.87,0.0085,2147.12
207,47.85,0.0085,2147.07
208,47.83,0.0085,2147.02
209,47.81,0.0085,2146.97
210,47.78,0.0085,2146.92
211,47.77,0.0085,2146.87
212,47.75,0.0085,2146.81
213,47.74,0.0085,2146.77
214,47.72,0.0085,2146.71
215,47.71,0.0085,2146.66
216,47.69,0.0085,2146.61
217,47.68,0.0085,2146.56
218,47.66,0.0085,2146.51
219,47.64,0.0085,2146.46
220,47.62,0.0085,2146.41
221,47.60,0.0085,2146.36
222,47.58,0.0085,2146.31
223,47.55,0.0084,2146.25
224,47.53,0.0084,2146.21
225,47.50,0.0084,2146.16
226,47.48,0.0084,2146.11
227,47.46,0.0084,2146.05
228,47.44,0.0084,2146.00
229,47.41,0.0084,2145.95
230,47.39,0.0084,2145.90
231,47.37,0.0084,2145.85
232,47.34,0.0084,2145.80
233,47.32,0.0084,2145.75
234,47.31,0.0084,2145.70
235,47.29,0.0084,2145.65
236,47.27,0.0084,2145.60
237,47.25,0.0084,2145.55
238,47.23,0.0084,2145.50
239,47.21,0.0084,2145.45
240,47.19,0.0084,2145.40
241,47.17,0.0084,2145.35
242,47.15,0.0084,2145.30
243,47.12,0.0084,2145.25
244,47.11,0.0084,2145.20
245,47.09,0.0084,2145.15
246,47.07,0.0084,2145.11
247,47.05,0.0084,2145.06
248,47.02,0.0084,2145.01
249,47.00,0.0084,2144.96
250,46.98,0.0084,2144.91
251,46.96,0.0084,2144.86
252,46.94,0.0084,2144.81
253,46.91,0.0084,2144.76
254,46.90,0.0083,2144.71
255,46.89,0.0083,2144.66
256,46.88,0.0083,2144.61
257,46.86,0.0083,2144.57
258,46.85,0.0083,2144.52
259,46.83,0.0083,2144.47
260,46.82,0.0083,2144.42
261,46.81,0.0083,2144.37
262,46.79,0.0083,2144.33
263,46.78,0.0083,2144.28
264,46.76,0.0083,2144.23
265,46.74,0.0083,2144.18
266,46.72,0.0083,2144.13
267,46.71,0.0083,2144.08
268,46.69,0.0083,2144.04
269,46.68,0.0083,2143.99
270,46.67,0.0083,2143.94
271,46.66,0.0083,2143.89
272,46.65,0.0083,2143.84
273,46.64,0.0083,2143.80
274,46.63,0.0083,2143.75
275,46.61,0.0083,2143.70
276,46.60,0.0083,2143.65
277,46.59,0.0083,2143.60
278,46.58,0.0083,2143.55
279,46.57,0.0083,2143.51
280,46.55,0.0083,2143.46
281,46.54,0.0083,2143.41
282,46.52,0.0083,2143.36
283,46.50,0.0083,2143.31
284,46.49,0.0083,2143.27
285,46.47,0.0082,2143.22
286,46.46,0.0082,2143.17
287,46.45,0.0082,2143.12
288,46.44,0.0082,2143.08
289,46.43,0.0082,2143.03
290,46.41,0.0082,2142.98
291,46.40,0.0082,2142.93
292,46.40,0.0082,2142.88
293,46.39,0.0082,2142.83
294,46.38,0.0082,2142.78
295,46.37,0.0082,2142.74
296,46.35,0.0082,2142.69
297,46.34,0.0082,2142.64
298,46.32,0.0082,2142.59
299,46.31,0.0082,2142.55
300,46.29,0.0082,2142.50
301,46.27,0.0082,2142.45
302,46.25,0.0082,2142.40
303,46.23,0.0082,2142.36
304,46.22,0.0082,2142.31
305,46.21,0.0082,2142.26
306,46.20,0.0082,2142.22
307,46.20,0.0082,2142.17
308,46.19,0.0082,2142.12
309,46.19,0.0082,2142.08
310,46.19,0.0082,2142.03
311,46.19,0.0082,2141.98
312,46.19,0.0082,2141.94
313,46.19,0.0082,2141.89
314,46.19,0.0082,2141.84
315,46.19,0.0082,2141.79
316,46.18,0.0081,2141.75
317,46.18,0.0081,2141.71
318,46.18,0.0081,2141.66
319,46.17,0.0081,2141.62
320,46.16,0.0081,2141.57
321,46.15,0.0081,2141.53
322,46.14,0.0081,2141.48
323,46.12,0.0081,2141.44
324,46.11,0.0081,2141.39
325,46.10,0.0081,2141.35
326,46.09,0.0081,2141.30
327,46.08,0.0081,2141.26
328,46.06,0.0081,2141.22
329,46.05,0.0081,2141.17
330,46.04,0.0081,2141.13
331,46.03,0.0081,2141.08
332,46.01,0.0081,2141.04
333,46.00,0.0081,2140.99
334,45.98,0.0081,2140.95
335,45.97,0.0081,2140.91
336,45.95,0.0081,2140.86
337,45.94,0.0081,2140.81
338,45.93,0.0081,2140.77
339,45.92,0.0081,2140.73
340,45.91,0.0081,2140.68
341,45.91,0.0081,2140.64
342,45.90,0.0081,2140.59
343,45.90,0.0081,2140.55
344,45.89,0.0081,2140.50
345,45.89,0.0081,2140.46
346,45.88,0.0080,2140.42
347,45.88,0.0080,2140.38
348,45.87,0.0080,2140.33
349,45.86,0.0080,2140.29
350,45.86,0.0080,2140.25
351,45.85,0.0080,2140.21
352,45.84,0.0080,2140.17
353,45.83,0.0080,2140.12
354,45.82,0.0080,2140.08
355,45.80,0.0080,2140.04
356,45.79,0.0080,2140.00
357,45.78,0.0080,2139.96
358,45.77,0.0080,2139.92
359,45.77,0.0080,2139.87
360,45.76,0.0080,2139.83
361,45.76,0.0080,2139.79
362,45.75,0.0080,2139.75
363,45.74,0.0080,2139.71
364,45.74,0.0080,2139.67
365,45.73,0.0080,2139.62
366,45.73,0.0080,2139.58
367,45.73,0.0080,2139.54
368,45.73,0.0080,2139.49
369,45.72,0.0080,2139.45
370,45.72,0.0080,2139.41
371,45.72,0.0080,2139.37
372,45.72,0.0079,2139.33
373,45.72,0.0079,2139.28
374,45.72,0.0079,2139.24
375,45.72,0.0079,2139.20
376,45.73,0.0079,2139.16
377,45.73,0.0079,2139.12
378,45.73,0.0079,2139.08
379,45.73,0.0079,2139.04
380,45.72,0.0079,2139.00
381,45.72,0.0079,2138.96
382,45.71,0.0079,2138.92
383,45.71,0.0079,2138.88
384,45.70,0.0079,2138.84
385,45.70,0.0079,2138.80
386,45.69,0.0079,2138.76
387,45.69,0.0079,2138.72
388,45.68,0.0079,2138.68
389,45.68,0.0079,2138.64
390,45.67,0.0079,2138.60
391,45.66,0.0079,2138.56
392,45.65,0.0079,2138.52
393,45.65,0.0079,2138.48
394,45.64,0.0079,2138.44
395,45.64,0.0079,2138.40
396,45.63,0.0079,2138.36
397,45.63,0.0079,2138.32
398,45.63,0.0079,2138.28
399,45.63,0.0079,2138.24
400,45.62,0.0078,2138.20
401,45.62,0.0078,2138.16
402,45.62,0.0078,2138.12
403,45.62,0.0078,2138.08
404,45.61,0.0078,2138.04
405,45.60,0.0078,2138.00
406,45.59,0.0078,2137.96
407,45.58,0.0078,2137.92
408,45.57,0.0078,2137.88
409,45.56,0.0078,2137.84
410,45.56,0.0078,2137.80
411,45.55,0.0078,2137.77
412,45.54,0.0078,2137.73
413,45.54,0.0078,2137.69
414,45.53,0.0078,2137.65
415,45.52,0.0078,2137.61
416,45.51,0.0078,2137.58
417,45.50,0.0078,2137.54
418,45.49,0.0078,2137.50
419,45.48,0.0078,2137.47
420,45.47,0.0078,2137.43
421,45.46,0.0078,2137.39
422,45.45,0.0078,2137.36
423,45.44,0.0078,2137.32
424,45.43,0.0078,2137.29
425,45.42,0.0077,2137.25
426,45.41,0.0077,2137.22
427,45.40,0.0077,2137.18
428,45.39,0.0077,2137.15
429,45.38,0.0077,2137.11
430,45.37,0.0077,2137.07
431,45.36,0.0077,2137.04
432,45.35,0.0077,2137.00
433,45.35,0.0077,2136.96
434,45.34,0.0077,2136.92
435,45.33,0.0077,2136.89
436,45.32,0.0077,2136.85
437,45.31,0.0077,2136.81
438,45.30,0.0077,2136.78
439,45.29,0.0077,2136.74
440,45.29,0.0077,2136.71
441,45.28,0.0077,2136.67
442,45.27,0.0077,2136.64
443,45.27,0.0077,2136.60
444,45.26,0.0077,2136.57
445,45.25,0.0077,2136.53
446,45.25,0.0077,2136.50
447,45.24,0.0077,2136.46
448,45.23,0.0077,2136.42
449,45.23,0.0076,2136.39
450,45.22,0.0076,2136.35
451,45.21,0.0076,2136.32
452,45.20,0.0076,2136.28
453,45.20,0.0076,2136.24
454,45.19,0.0076,2136.21
455,45.18,0.0076,2136.17
456,45.17,0.0076,2136.14
457,45.16,0.0076,2136.10
458,45.15,0.0076,2136.06
459,45.14,0.0076,2136.03
460,45.13,0.0076,2136.00
461,45.12,0.0076,2135.96
462,45.12,0.0076,2135.93
463,45.11,0.0076,2135.89
464,45.10,0.0076,2135.86
465,45.10,0.0076,2135.82
466,45.10,0.0076,2135.79
467,45.09,0.0076,2135.75
468,45.08,0.0076,2135.72
469,45.08,0.0076,2135.68
470,45.08,0.0076,2135.65
471,45.07,0.0076,2135.61
472,45.08,0.0076,2135.58
473,45.08,0.0075,2135.54
474,45.08,0.0075,2135.51
475,45.08,0.0075,2135.48
476,45.08,0.0075,2135.44
