iter,wl,overlap,ref
200,48.72,0.0000,2055.45
201,48.69,0.0000,2055.42
202,48.67,0.0000,2055.40
203,48.64,0.0000,2055.37
204,48.62,0.0000,2055.34
205,48.60,0.0000,2055.31
206,48.57,0.0000,2055.28
207,48.55,0.0000,2055.25
208,48.53,0.0000,2055.23
209,48.51,0.0000,2055.20
210,48.50,0.0000,2055.17
211,48.49,0.0000,2055.14
212,48.48,0.0000,2055.11
213,48.46,0.0000,2055.09
214,48.45,0.0000,2055.06
215,48.43,0.0000,2055.03
216,48.42,0.0000,2055.00
217,48.41,0.0000,2054.98
218,48.39,0.0000,2054.95
219,48.38,0.0000,2054.93
220,48.36,0.0000,2054.90
221,48.35,0.0000,2054.88
222,48.33,0.0000,2054.85
223,48.31,0.0000,2054.82
224,48.30,0.0000,2054.80
225,48.28,0.0000,2054.77
226,48.27,0.0000,2054.74
227,48.26,0.0000,2054.72
228,48.24,0.0000,2054.69
229,48.23,0.0000,2054.66
230,48.21,0.0000,2054.64
231,48.20,0.0000,2054.61
232,48.18,0.0000,2054.59
233,48.16,0.0000,2054.56
234,48.15,0.0000,2054.54
235,48.13,0.0000,2054.51
236,48.11,0.0000,2054.48
237,48.08,0.0000,2054.46
238,48.06,0.0000,2054.43
239,48.04,0.0000,2054.41
240,48.02,0.0000,2054.39
241,48.00,0.0000,2054.36
242,47.98,0.0000,2054.34
243,47.96,0.0000,2054.31
244,47.94,0.0000,2054.29
245,47.92,0.0000,2054.27
246,47.89,0.0000,2054.24
247,47.87,0.0000,2054.22
248,47.85,0.0000,2054.19
249,47.83,0.0000,2054.17
250,47.81,0.0000,2054.14
251,47.78,0.0000,2054.12
252,47.76,0.0000,2054.09
253,47.74,0.0000,2054.07
254,47.72,0.0000,2054.05
255,47.71,0.0000,2054.02
256,47.70,0.0000,2054.00
257,47.68,0.0000,2053.98
258,47.67,0.0000,2053.95
259,47.65,0.0000,2053.93
260,47.64,0.0000,2053.90
261,47.62,0.0000,2053.88
262,47.60,0.0000,2053.85
263,47.59,0.0000,2053.83
264,47.58,0.0000,2053.81
265,47.56,0.0000,2053.78
266,47.55,0.0000,2053.76
267,47.53,0.0000,2053.73
268,47.52,0.0000,2053.71
269,47.50,0.0000,2053.69
270,47.48,0.0000,2053.66
271,47.46,0.0000,2053.64
272,47.44,0.0000,2053.62
273,47.42,0.0000,2053.59
274,47.41,0.0000,2053.57
275,47.39,0.0000,2053.55
276,47.37,0.0000,2053.53
277,47.36,0.0000,2053.50
278,47.34,0.0000,2053.48
279,47.33,0.0000,2053.46
280,47.32,0.0000,2053.43
281,47.31,0.0000,2053.41
282,47.29,0.0000,2053.39
283,47.28,0.0000,2053.37
284,47.26,0.0000,2053.34
285,47.25,0.0000,2053.32
286,47.23,0.0000,2053.30
287,47.22,0.0000,2053.28
288,47.20,0.0000,2053.26
289,47.19,0.0000,2053.23
290,47.17,0.0000,2053.22
291,47.15,0.0000,2053.19
292,47.13,0.0000,2053.17
293,47.11,0.0000,2053.15
294,47.09,0.0000,2053.13
295,47.07,0.0000,2053.11
296,47.05,0.0000,2053.09
297,47.03,0.0000,2053.07
298,47.01,0.0000,2053.05
299,46.99,0.0000,2053.03
300,46.97,0.0000,2053.01
301,46.95,0.0000,2052.99
302,46.92,0.0000,2052.96
303,46.90,0.0000,2052.95
304,46.88,0.0000,2052.92
305,46.85,0.0000,2052.90
306,46.83,0.0000,2052.88
307,46.80,0.0000,2052.86
308,46.78,0.0000,2052.84
309,46.75,0.0000,2052.82
310,46.73,0.0000,2052.80
311,46.70,0.0000,2052.78
312,46.68,0.0000,2052.76
313,46.65,0.0000,2052.74
314,46.63,0.0000,2052.72
315,46.60,0.0000,2052.70
316,46.58,0.0000,2052.68
317,46.56,0.0000,2052.66
318,46.53,0.0000,2052.64
319,46.51,0.0000,2052.62
320,46.48,0.0000,2052.60
321,46.46,0.0000,2052.58
322,46.43,0.0000,2052.56
323,46.41,0.0000,2052.54
324,46.39,0.0000,2052.51
325,46.36,0.0000,2052.49
326,46.34,0.0000,2052.47
327,46.31,0.0000,2052.45
328,46.29,0.0000,2052.43
329,46.26,0.0000,2052.41
330,46.24,0.0000,2052.39
331,46.21,0.0000,2052.37
332,46.19,0.0000,2052.35
333,46.16,0.0000,2052.33
334,46.14,0.0000,2052.31
335,46.11,0.0000,2052.29
336,46.09,0.0000,2052.27
337,46.07,0.0000,2052.25
338,46.04,0.0000,2052.23
339,46.02,0.0000,2052.20
340,46.00,0.0000,2052.18
341,45.98,0.0000,2052.17
342,45.96,0.0000,2052.15
343,45.95,0.0000,2052.13
344,45.93,0.0000,2052.11
345,45.92,0.0000,2052.09
346,45.90,0.0000,2052.07
347,45.89,0.0000,2052.05
348,45.87,0.0000,2052.03
349,45.85,0.0000,2052.01
350,45.84,0.0000,2051.99
351,45.82,0.0000,2051.97
352,45.80,0.0000,2051.96
353,45.78,0.0000,2051.94
354,45.76,0.0000,2051.92
355,45.75,0.0000,2051.90
356,45.73,0.0000,2051.88
357,45.72,0.0000,2051.86
358,45.71,0.0000,2051.84
359,45.69,0.0000,2051.82
360,45.67,0.0000,2051.80
361,45.66,0.0000,2051.78
362,45.64,0.0000,2051.76
363,45.62,0.0000,2051.74
364,45.60,0.0000,2051.72
365,45.59,0.0000,2051.70
